按性別_按經常居住地區分_及按鄉鎮市區別分_By_Sex_By_Usually_Living_County_City_By_Township_City_District_人數,總計_Grand_total_人數,同現住鄉鎮市區_Same_township_city_district_人數,同現住縣市不同鄉鎮市區_Same_county_city_人數,不同縣市或國外地區_Other_county_city_or_overseas_人數
臺南市善化區,6874,4126,2362,386
Shanhua District,,,,
臺南市新市區,7324,5349,1706,269
Xinshi District,,,,
臺南市安定區,4088,1733,2168,187
Anding District,,,,
臺南市山上區,782,224,518,40
Shanshang District,,,,
臺南市玉井區,1149,922,216,11
Yujing District,,,,
臺南市楠西區,690,444,226,20
Nanxi District,,,,
臺南市南化區,514,315,174,25
Nanhua District,,,,
臺南市左鎮區,222,103,114,5
Zuozhen District,,,,
臺南市仁德區,17552,12547,4387,618
Rende District,,,,
臺南市歸仁區,20845,17027,3329,489
Guiren District,,,,
臺南市關廟區,3757,1817,1803,137
Guanmiao District,,,,
臺南市龍崎區,117,40,73,4
Longqi District,,,,
臺南市永康區,57347,45660,10025,1662
Yongkang District,,,,
臺南市東區,30383,23361,5026,1996
East District,,,,
臺南市南區,14869,7167,6912,790
South District,,,,
臺南市北區,19108,11426,6694,988
North District,,,,
臺南市安南區,31594,19078,11248,1268
Annan District,,,,
臺南市安平區,9691,6006,3277,408
Anping District,,,,
臺南市中西區,11308,7750,3111,447
West Central District,,,,
按性別分_By_Sex,,,,
高雄市_男_Male,209978,138386,62698,8894
高雄市_女_Female,195162,129767,56232,9163
按鄉鎮市區別分_By_Township_City_District,,,,
高雄市鹽埕區,2669,1117,1460,92
Yancheng District,,,,
高雄市鼓山區,22656,16822,5156,678
Gushan District,,,,
高雄市左營區,30370,17850,11188,1332
Zuoying District,,,,
高雄市楠梓區,35012,23988,10036,988
Nanzi District,,,,
高雄市三民區,47944,37316,9113,1515
Sanmin District,,,,
高雄市新興區,4674,2791,1690,193
Xinxing District,,,,
高雄市前金區,3333,1681,1495,157
Qianjin District,,,,
高雄市苓雅區,21079,15629,4664,786
Lingya District,,,,
高雄市前鎮區,22301,13384,7851,1066
Qianzhen District,,,,
高雄市旗津區,3874,2276,1486,112
Qijin District,,,,
高雄市小港區,22416,16008,5556,852
Xiaogang District,,,,
高雄市鳳山區,53986,33151,19007,1828
Fengshan District,,,,
高雄市林園區,7804,4882,2462,460
Linyuan District,,,,
高雄市大寮區,15945,12666,2925,354
Daliao District,,,,
高雄市大樹區,10099,8209,1716,174
Dashu District,,,,
高雄市大社區,6042,2047,3810,185
Dashe District,,,,
高雄市仁武區,14407,6766,6822,819
Renwu District,,,,
高雄市鳥松區,6872,4198,2422,252
Niaosong District,,,,
高雄市岡山區,14354,9521,3996,837
Gangshan District,,,,
高雄市橋頭區,5207,2743,2195,269
Qiaotou District,,,,
高雄市燕巢區,11653,9199,2224,230
Yanchao District,,,,
高雄市田寮區,453,160,252,41
Tianliao District,,,,
高雄市阿蓮區,3536,1908,1247,381
Alian District,,,,
高雄市路竹區,9614,7559,1092,963
Luzhu District,,,,
高雄市湖內區,5347,2310,1539,1498
Hunei District,,,,
高雄市茄萣區,3467,1833,568,1066
Qieding District,,,,
高雄市永安區,1465,547,773,145
Yong'an District,,,,
高雄市彌陀區,2583,1306,1201,76
Mituo District,,,,
高雄市梓官區,4373,1841,2358,174
Ziguan District,,,,
高雄市旗山區,3541,2509,880,152
Qishan District,,,,
高雄市美濃區,2386,1521,714,151
Meinong District,,,,
高雄市六龜區,826,712,89,25
Liugui District,,,,
高雄市甲仙區,296,216,67,13
Jiaxian District,,,,
高雄市杉林區,1041,651,339,51
Shanlin District,,,,
高雄市內門區,2803,2266,462,75
Neimen District,,,,
高雄市茂林區,146,97,13,36
Maolin District,,,,
高雄市桃源區,317,250,49,18
Taoyuan District,,,,
高雄市那瑪夏區,249,223,13,13
Namaxia District,,,,
